@RELATION urnsModelData

@ATTRIBUTE logLen NUMERIC
@ATTRIBUTE singleton NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE top10 NUMERIC
@ATTRIBUTE top50 NUMERIC
@ATTRIBUTE top100 NUMERIC
@ATTRIBUTE top1000 NUMERIC
@ATTRIBUTE logLenC NUMERIC

@DATA
9.8470,0.0198,0.0495,15.8329,2.0000,0.3511,0.5029,0.5695,0.7800,6.234410725718371
10.6973,0.0163,0.0432,18.0658,2.0000,0.3078,0.4523,0.5181,0.7281,6.802394763324311
10.2129,0.0556,0.0937,9.2356,1.0000,0.3082,0.4519,0.5171,0.7284,6.802394763324311
10.1554,0.0618,0.1013,8.6024,1.0000,0.3062,0.4508,0.5170,0.7285,6.802394763324311
10.1682,0.0239,0.0550,14.9528,2.0000,0.3212,0.4860,0.5643,0.7872,4.912654885736052
10.4341,0.0027,0.0158,36.6706,5.0000,0.3212,0.4863,0.5649,0.7864,4.912654885736052
10.1551,0.0261,0.0578,14.3363,2.0000,0.3217,0.4874,0.5657,0.7872,4.912654885736052
10.0972,0.0198,0.0494,16.3741,2.0000,0.4613,0.5906,0.6439,0.7990,3.5553480614894135
10.0203,0.0267,0.0589,14.1506,2.0000,0.4625,0.5915,0.6449,0.7991,3.5553480614894135
10.3253,0.0007,0.0076,53.2520,7.0000,0.4625,0.5912,0.6445,0.7979,3.5553480614894135
10.0938,0.0556,0.0939,9.5141,1.0000,0.4887,0.6077,0.6492,0.7834,2.0794415416798357
10.6557,0.0106,0.0336,22.2837,3.0000,0.4896,0.6079,0.6501,0.7820,2.0794415416798357
10.2533,0.0439,0.0795,11.0150,2.0000,0.4882,0.6073,0.6490,0.7822,2.0794415416798357
10.0870,0.0352,0.0715,11.9327,2.0000,0.4424,0.5678,0.6203,0.7792,7.962763930168115
10.1940,0.0259,0.0583,14.1805,2.0000,0.4443,0.5704,0.6221,0.7805,7.962763930168115
10.3863,0.0104,0.0336,21.8238,3.0000,0.4416,0.5679,0.6202,0.7788,7.962763930168115
10.2554,0.0283,0.0607,13.8572,2.0000,0.4654,0.5899,0.6418,0.7885,3.258096538021482
10.3335,0.0222,0.0521,15.7361,2.0000,0.4660,0.5909,0.6424,0.7889,3.258096538021482
10.5677,0.0029,0.0163,36.0894,4.0000,0.4660,0.5908,0.6419,0.7875,3.258096538021482
10.8328,0.1013,0.1404,6.6111,1.0000,0.4193,0.5331,0.5802,0.7204,6.621405651764134
10.5530,0.1209,0.1611,5.8217,1.0000,0.4206,0.5336,0.5806,0.7222,6.621405651764134
11.1827,0.0777,0.1147,7.9836,1.0000,0.4196,0.5336,0.5806,0.7203,6.621405651764134
10.6931,0.0243,0.0548,15.2018,2.0000,0.4612,0.5947,0.6403,0.7739,2.6390573296152584
10.9669,0.0029,0.0161,36.9116,4.0000,0.4618,0.5953,0.6404,0.7731,2.6390573296152584
10.4411,0.0445,0.0804,10.9127,2.0000,0.4608,0.5945,0.6398,0.7733,2.6390573296152584
10.8763,0.0057,0.0234,28.9952,4.0000,0.4384,0.5693,0.6234,0.7733,3.7376696182833684
10.3609,0.0473,0.0834,10.5477,2.0000,0.4369,0.5679,0.6219,0.7740,3.7376696182833684
10.9353,0.0012,0.0101,47.9286,6.0000,0.4382,0.5693,0.6232,0.7733,3.7376696182833684
10.8362,0.1053,0.1789,5.1661,1.0000,0.3043,0.4524,0.4855,0.6047,3.091042453358316
10.9176,0.0921,0.1641,5.5731,1.0000,0.3042,0.4534,0.4861,0.6045,3.091042453358316
10.8193,0.1087,0.1821,5.0839,1.0000,0.3046,0.4538,0.4862,0.6052,3.091042453358316
10.3122,0.0622,0.1007,8.9555,1.0000,0.4545,0.5911,0.6371,0.7711,2.772588722239781
10.3650,0.0583,0.0958,9.3662,1.0000,0.4547,0.5921,0.6380,0.7721,2.772588722239781
10.6312,0.0366,0.0707,12.2399,2.0000,0.4539,0.5905,0.6369,0.7702,2.772588722239781
10.1364,0.0017,0.0126,41.1454,5.0000,0.4954,0.6218,0.6662,0.8064,2.0794415416798357
10.1572,0.0000,0.0016,90.9106,11.0000,0.4963,0.6225,0.6667,0.8068,2.0794415416798357
9.7990,0.0304,0.0636,13.2164,2.0000,0.4955,0.6210,0.6657,0.8084,2.0794415416798357
10.2310,0.0361,0.0710,12.1527,2.0000,0.4720,0.6072,0.6505,0.7867,2.302585092994046
10.0293,0.0525,0.0905,9.8190,1.0000,0.4719,0.6078,0.6511,0.7878,2.302585092994046
10.0605,0.0499,0.0874,10.1162,1.0000,0.4726,0.6083,0.6519,0.7873,2.302585092994046
10.7900,0.0391,0.0749,11.3583,2.0000,0.2462,0.3816,0.4479,0.6832,6.891625897052253
10.8605,0.0333,0.0677,12.3990,2.0000,0.2448,0.3793,0.4456,0.6806,6.891625897052253
10.4514,0.0687,0.1095,8.0493,1.0000,0.2447,0.3793,0.4455,0.6825,6.891625897052253
9.9863,0.0390,0.0751,11.4996,2.0000,0.3998,0.5466,0.6103,0.7910,4.465908118654584
10.2769,0.0143,0.0404,19.1898,3.0000,0.3986,0.5475,0.6112,0.7899,4.465908118654584
10.3680,0.0069,0.0267,26.0950,3.0000,0.3985,0.5476,0.6111,0.7897,4.465908118654584
10.0560,0.0539,0.0929,9.4944,1.0000,0.4395,0.5642,0.6162,0.7727,8.517193191416238
10.7256,0.0008,0.0064,57.9806,7.0000,0.4373,0.5624,0.6141,0.7708,8.517193191416238
10.2096,0.0416,0.0776,11.1450,2.0000,0.4396,0.5637,0.6155,0.7735,8.517193191416238
10.4913,0.0283,0.0788,10.3103,2.0000,0.2087,0.3527,0.4337,0.6601,4.852030263919617
